timestamp;buyer;seller;symbol;currency;price;quantity
100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
100;;;KELP;SEASHELLS;2034;1
200;;;KELP;SEASHELLS;2035;1
200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
200;;;SQUID_INK;SEASHELLS;1835;1
300;;;KELP;SEASHELLS;2034;1
300;;;SQUID_INK;SEASHELLS;1836;1
500;;;KELP;SEASHELLS;2034;1
500;;;SQUID_INK;SEASHELLS;1836;1
600;SUBMISSION;;KELP;SEASHELLS;2033;9
600;;;KELP;SEASHELLS;2033;5
600;;;SQUID_INK;SEASHELLS;1834;5
700;;;SQUID_INK;SEASHELLS;1834;1
700;;;KELP;SEASHELLS;2032;1
800;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
800;;;KELP;SEASHELLS;2032;1
800;;;SQUID_INK;SEASHELLS;1836;1
900;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;11
900;;SUBMISSION;KELP;SEASHELLS;2034;15
1200;;;SQUID_INK;SEASHELLS;1839;1
1200;SUBMISSION;;KELP;SEASHELLS;2032;1
1300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
1400;;;SQUID_INK;SEASHELLS;1842;6
1500;;;SQUID_INK;SEASHELLS;1844;1
1500;;SUBMISSION;KELP;SEASHELLS;2034;1
1500;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;4
1900;;;KELP;SEASHELLS;2032;1
2200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;4
2600;;;RAINFOREST_RESIN;SEASHELLS;10002;4
2600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
3000;;;SQUID_INK;SEASHELLS;1850;1
3000;;;KELP;SEASHELLS;2034;1
3100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
3200;;;RAINFOREST_RESIN;SEASHELLS;10002;5
3200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;2
3300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
3700;;;RAINFOREST_RESIN;SEASHELLS;9998;1
4000;;;SQUID_INK;SEASHELLS;1854;1
4000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
4000;;;KELP;SEASHELLS;2032;1
4200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;5
4300;;;KELP;SEASHELLS;2032;2
4300;;;SQUID_INK;SEASHELLS;1854;2
5200;;;SQUID_INK;SEASHELLS;1859;5
5200;;;KELP;SEASHELLS;2033;5
5200;;;SQUID_INK;SEASHELLS;1859;4
5200;SUBMISSION;;KELP;SEASHELLS;2033;4
5300;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;12
5400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10004;1
5400;;;KELP;SEASHELLS;2035;1
5400;;;SQUID_INK;SEASHELLS;1860;1
5500;;;KELP;SEASHELLS;2032;8
5500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;2
6200;;;SQUID_INK;SEASHELLS;1861;1
6200;;;KELP;SEASHELLS;2034;1
6300;;;KELP;SEASHELLS;2035;11
6300;;;SQUID_INK;SEASHELLS;1862;11
6600;;;KELP;SEASHELLS;2032;7
6600;;;SQUID_INK;SEASHELLS;1860;7
6700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
6700;;;SQUID_INK;SEASHELLS;1861;1
6700;;;KELP;SEASHELLS;2034;1
6800;;;KELP;SEASHELLS;2032;1
6800;;;SQUID_INK;SEASHELLS;1859;1
7100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;5
7200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;7
7200;;;RAINFOREST_RESIN;SEASHELLS;10002;1
7400;;SUBMISSION;KELP;SEASHELLS;2034;13
7400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
7400;;;SQUID_INK;SEASHELLS;1862;13
7600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
8000;;;KELP;SEASHELLS;2034;1
8000;;;SQUID_INK;SEASHELLS;1858;1
8200;;;SQUID_INK;SEASHELLS;1857;1
8200;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9997;1
8200;SUBMISSION;;KELP;SEASHELLS;2033;1
9100;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;1
9100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;11
9300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;11
9400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
9500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;1
9700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
10100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002;4
10300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10003;1
10300;;SUBMISSION;KELP;SEASHELLS;2035;1
10300;;;SQUID_INK;SEASHELLS;1861;1
10600;;;KELP;SEASHELLS;2033;4
10600;;;SQUID_INK;SEASHELLS;1857;4
10700;SUBMISSION;;RAINFOREST_RESIN;SEASHELLS;9998;3
10800;;;SQUID_INK;SEASHELLS;1857;6
10800;SUBMISSION;;KELP;SEASHELLS;2034;12
11800;;;KELP;SEASHELLS;2033;4
