timestamp,buyer,seller,symbol,currency,price,quantity
0,,SUBMISSION,KELP,SEASHELLS,2040,2
0,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,666,14
0,,SUBMISSION,KELP,SEASHELLS,2040,25
0,,,JAMS,SEASHELLS,6522,6
0,,,CROISSANTS,SEASHELLS,4241,8
0,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,666,0
0,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,666,2
0,,SUBMISSION,KELP,SEASHELLS,2040,1
100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,416,2
100,,SUBMISSION,KELP,SEASHELLS,2042,7
100,,SUBMISSION,KELP,SEASHELLS,2040,8
100,,SUBMISSION,KELP,SEASHELLS,2042,4
100,,,SQUID_INK,SEASHELLS,1818,7
100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,416,0
100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,416,10
100,,SUBMISSION,KELP,SEASHELLS,2042,0
100,,SUBMISSION,KELP,SEASHELLS,2040,3
200,,,DJEMBES,SEASHELLS,13298,2
300,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,19
300,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,1
300,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10169,37
300,,,JAMS,SEASHELLS,6523,10
400,,,CROISSANTS,SEASHELLS,4242,5
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,19
500,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,16
700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,0
700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,1
700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,670,18
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,0
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,188,10
800,,,CROISSANTS,SEASHELLS,4242,5
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,188,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,188,0
800,,,SQUID_INK,SEASHELLS,1813,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,10
800,,,KELP,SEASHELLS,2040,1
900,,,JAMS,SEASHELLS,6523,9
1000,,,PICNIC_BASKET2,SEASHELLS,30064,7
1000,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,190,12
1000,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,3
1100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10003,10
1100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,18
1100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,1
1100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,0
1100,,,JAMS,SEASHELLS,6523,5
1200,,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,3,15
1200,,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,669,15
1200,,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,37,15
1200,,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,420,15
1200,,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,182,15
1300,,,SQUID_INK,SEASHELLS,1819,2
1300,,,SQUID_INK,SEASHELLS,1819,1
1300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10001,1
1300,,,KELP,SEASHELLS,2039,2
1300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,18
1300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,1
1300,,,KELP,SEASHELLS,2040,1
1300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,0
1300,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,2
1400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,422,16
1400,,,SQUID_INK,SEASHELLS,1820,2
1400,,,KELP,SEASHELLS,2040,2
1400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,4
1500,,,SQUID_INK,SEASHELLS,1820,1
1500,,,KELP,SEASHELLS,2040,1
1600,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,16
1700,,,VOLCANIC_ROCK,SEASHELLS,10171,2
1700,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,424,19
1700,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,4
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191,1
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,5
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,14
1800,,,SQUID_INK,SEASHELLS,1822,2
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,1
1800,,,KELP,SEASHELLS,2041,2
1800,,,SQUID_INK,SEASHELLS,1822,3
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191,5
1800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191,14
1800,,,KELP,SEASHELLS,2041,3
1900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,4
2000,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,18
2000,,,JAMS,SEASHELLS,6519,4
2000,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,0
2000,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,426,1
2100,,,PICNIC_BASKET1,SEASHELLS,58401,9
